Model Name,Kernel Size,Run 1 Accuracy,Run 1 Loss,Run 2 Accuracy,Run 2 Loss,Run 3 Accuracy,Run 3 Loss,Average Accuracy,Average Loss
model_4x4_f508dc637e5f4aa4.keras,4x4,0.8189610242843628,0.7610675692558289,0.8186257481575012,0.7639162540435791,0.8180325627326965,0.7609961628913879,0.8185397783915201,0.7619933287302653
model_3x3_42b1734425b341de.keras,3x3,0.816545307636261,0.7542303800582886,0.8162272572517395,0.754420280456543,0.8167086243629456,0.753186821937561,0.8164937297503153,0.7539458274841309
model_5x5_6ffaca85e7fd4945.keras,5x5,0.8190039992332458,0.6422289609909058,0.8188062310218811,0.6424865126609802,0.8194767832756042,0.6402069330215454,0.8190956711769104,0.6416408022244772
model_2x2_d00797a7959849df.keras,2x2,0.8016213178634644,0.9708461761474609,0.8017417192459106,0.9748495817184448,0.8038221001625061,0.9685571789741516,0.8023950457572937,0.9714176456133524
model_2x2_13e9b091c15e4ce8.keras,2x2,0.8052491545677185,0.8810492753982544,0.8053867220878601,0.8827362060546875,0.80434650182724,0.8841696381568909,0.8049941261609396,0.882651706536611
model_5x5_b6d400eae21c467e.keras,5x5,0.8159950971603394,0.693522036075592,0.8164335489273071,0.6944676637649536,0.8168376088142395,0.6942836046218872,0.8164220849672953,0.6940911014874777
model_4x4_6fc9ecbe09604e95.keras,4x4,0.8049998879432678,0.6844772100448608,0.8050772547721863,0.6857312917709351,0.8051890134811401,0.6846757531166077,0.8050887187321981,0.6849614183108012
model_3x3_db55208ef0304d1f.keras,3x3,0.8146024346351624,0.830236554145813,0.8147658109664917,0.8333736658096313,0.8148431777954102,0.8307071328163147,0.8147371411323547,0.8314391175905863
model_4x4_c29205c54a784073.keras,4x4,0.8219870328903198,0.7285332679748535,0.8213766813278198,0.7315328121185303,0.8213251233100891,0.7307765483856201,0.8215629458427429,0.730280876159668
model_3x3_9387618240454fef.keras,3x3,0.815152645111084,0.7558949589729309,0.8150064945220947,0.7589269876480103,0.8153589367866516,0.7550291419029236,0.8151726921399435,0.756617029507955
model_2x2_4179950e1cda4c04.keras,2x2,0.804733395576477,0.878406286239624,0.8054125308990479,0.8773261308670044,0.8048967123031616,0.8819050192832947,0.8050142129262289,0.879212478796641
model_5x5_5c4f2855259f4888.keras,5x5,0.8249357342720032,0.6666005849838257,0.8246520757675171,0.666425347328186,0.8247981667518616,0.6662941575050354,0.8247953255971273,0.6664400299390157
